"tct";"ui";"lib_tct";"lib_ui";"annee";"activite";"categorie";"autorite_organisatrice";"nom_commercial_service_regional"
"RCH";"1387";"Train TER à charge, VL<160 km/h, Champagne-Ardenne";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCC";"1387";"Train TER à charge, VL<160 km/h, Franche-Comté";"SNCF-TER";2020;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RCV";"1387";"Train TER à charge, VL<160 km/h, Haute-Normandie";"SNCF-TER";2020;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RCP";"1387";"Train TER à charge, VL<160 km/h, Languedoc-Roussillon";"SNCF-TER";2020;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCE";"1387";"Train TER à charge, VL<160 km/h, Limousin";"SNCF-TER";2020;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCN";"1387";"Train TER à charge, VL<160 km/h, Lorraine";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCT";"1387";"Train TER à charge, VL<160 km/h, Midi-Pyrénées";"SNCF-TER";2020;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCL";"1387";"Train TER à charge, VL<160 km/h, Nord-Pas-de-Calais";"SNCF-TER";2020;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCG";"1387";"Train TER à charge, VL<160 km/h, Pays de la Loire";"SNCF-TER";2020;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RCA";"1387";"Train TER à charge, VL<160 km/h, Picardie";"SNCF-TER";2020;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCY";"1387";"Train TER à charge, VL<160 km/h, Poitou-Charentes";"SNCF-TER";2020;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCM";"1387";"Train TER à charge, VL<160 km/h, Provence-Alpes-Côte d'Azur";"SNCF-TER";2020;"TER";"Service conventionné";"Provence-Alpes-Côte d'Azur";"Train Zou"
"RCK";"1387";"Train TER à charge, VL<160 km/h, Rhône-Alpes";"SNCF-TER";2020;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RCI";"1387";"Train régional à charge VL<160 km/h, parcours hors RFN ou non facturable";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBS";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Alsace";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBB";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Aquitaine";"SNCF-TER";2020;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBF";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Auvergne";"SNCF-TER";2020;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RBR";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Basse-Normandie";"SNCF-TER";2020;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RBD";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Bourgogne";"SNCF-TER";2020;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RBJ";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Bretagne";"SNCF-TER";2020;"TER";"Service conventionné";"Bretagne";"TER BreizhGo"
"RBU";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Centre";"SNCF-TER";2020;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RBH";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Champagne-Ardenne";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBC";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Franche-Comté";"SNCF-TER";2020;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RBV";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Haute-Normandie";"SNCF-TER";2020;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RBP";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Languedoc-Roussillon";"SNCF-TER";2020;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBE";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Limousin";"SNCF-TER";2020;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBN";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Lorraine";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBT";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Midi-Pyrénées";"SNCF-TER";2020;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBL";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Nord-Pas-de-Calais";"SNCF-TER";2020;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RBG";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Pays de la Loire";"SNCF-TER";2020;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RBA";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Picardie";"SNCF-TER";2020;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RBY";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Poitou-Charentes";"SNCF-TER";2020;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBM";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Provence-Alpes-Côte d'Azur";"SNCF-TER";2020;"TER";"Service conventionné";"Provence-Alpes-Côte d'Azur";"Train Zou"
"RBK";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Rhône-Alpes";"SNCF-TER";2020;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RBI";"1387";"Train régional à charge VL>=160 km/h, parcours hors RFN ou non facturable";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RVL";"1387";"Train TER à charge, TGV, Nord-Pas-de-Calais";"SNCF-TER";2020;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCW";"1387";"Train TER à charge, VL<160 km/h, Centre Val de Loire : ex IC GBPS ";"SNCF-TER";2020;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RCX";"1387";"Train TER à charge, VL<160 km/h, Occitanie : ex IC Cevenol ";"SNCF-TER";2020;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBZ";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, IC Nouvelle Aquitaine";"SNCF-TER";2020;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RWN";"1387";"Tram-train TER à charge, Lorraine";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RWK";"1387";"Tram-train TER à charge, Rhône-Alpes";"SNCF-TER";2020;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RWS";"1387";"Tram-train TER à charge, Alsace";"SNCF-TER";2020;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RWG";"1387";"Tram-train TER à charge, Pays de la Loire";"SNCF-TER";2020;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RBQ";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Léman Express";"SNCF-TER";2020;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RB1";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, REGIO CFF";"SNCF-TER";2020;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"TBV";"1287";"Train Transilien à charge, ligne Paris-Nord - Crépy-en-Valois";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBA";"1287";"Train Transilien à charge, ligne A du RER";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBB";"1287";"Train Transilien à charge, ligne B du RER";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBC";"1287";"Train Transilien à charge, ligne C du RER";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBD";"1287";"Train Transilien à charge, ligne D du RER";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBE";"1287";"Train Transilien à charge, ligne E du RER";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBN";"1287";"Train Transilien à charge, ligne Ouest-Paris-Nord";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBT";"1287";"Train Transilien à charge, ligne Paris-Est";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBM";"1287";"Train Transilien à charge, ligne Paris-Montparnasse";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBL";"1287";"Train Transilien à charge, ligne Paris-Gare de Lyon";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBR";"1287";"Train Transilien à charge, ligne PSL (groupes 2, 3)";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBS";"1287";"Train Transilien à charge, ligne PSL (groupes 4, 5, 6)";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TBQ";"1287";"Train Transilien à charge,ligne Saint-Quentin à La Défense";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TWT";"1287";"Tram-train Transilien à charge, ligne Paris-Est";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"TWN";"1287";"Tram-train Transilien à charge, Tram Express Nord";"SNCF-Transilien";2020;"Transilien et RER";"Service conventionné";"Île-de-France";"Train Transilien"
"LVC";"1187";"TAGV International ALLEO, à charge";"SNCF-Voyages";2020;"TAGV";"Service librement organisé";;
"LVR";"1187";"TAGV International France Italie, à charge";"SNCF-Voyages";2020;"TAGV";"Service librement organisé";;
"LVJ";"1187";"TAGV International GALA France Espagne, à charge";"SNCF-Voyages";2020;"TAGV";"Service librement organisé";;
"LVH";"1187";"TAGV International LYRIA, à charge";"SNCF-Voyages";2020;"TAGV";"Service librement organisé";;
"LBL";"1187";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"SNCF-Voyages";2020;"TGL";"Service librement organisé";;
"LVS";"1187";"TAGV spéciaux nationaux (pèlerins et autres), à charge";"SNCF-Voyages";2020;"TAGV";"Service librement organisé";;
"NBA";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Transversale Sud";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NBD";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Nantes-Bordeaux § Nantes-Lyon";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NBE";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Pyrénées";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NBM";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Paris Clermont";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NBN";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Normandie";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NBP";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Massif Central";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NBS";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Paris Toulouse";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCA";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Transversale Sud";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCD";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Nantes-Bordeaux § Nantes-Lyon";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCE";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Pyrénées";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCM";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Paris Clermont";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCN";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Normandie";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCP";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Massif Central";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"NCS";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Paris Toulouse";"SNCF-Intercités";2020;"TET";"Service conventionné";"Etat";"Intercités"
"LVG";"1187";"TAGV spéciaux internationaux (pèlerins et autres), à charge";"SNCF-Voyages";2020;"TAGV";"Service librement organisé";;
"LVW";"9132";"TAGV (Train A Grande Vitesse - à charge)";"Thalys";2020;"TAGV";"Service librement organisé";;
"LVW";"9124";"TAGV (Train A Grande Vitesse - à charge)";"Thello";2020;"TAGV";"Service librement organisé";;
"LBL";"9124";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"Thello";2020;"TGL";"Service librement organisé";;
"LAC";"9124";"Voyageurs - Trains non apte GV accord cadre";"Thello";2020;"TGL";"Service librement organisé";;
"LVW";"9150";"TAGV (Train A Grande Vitesse - à charge)";"Eurostar France";2019;"TAGV";"Service librement organisé";;
"ZW1";"5000";"Tramway";"Mulhouse Alsace Agglomération - Pas d'EF indiquée";2019;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"PTT";"1087";"Train touristique";"SNCF";2019;"TGL";"Service librement organisé";;
"NCD";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Nantes-Bordeaux § Nantes-Lyon";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBD";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Nantes-Bordeaux § Nantes-Lyon";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NCE";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Pyrénées";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBE";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Pyrénées";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NCM";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Paris Clermont";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBM";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Paris Clermont";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NCO";"1987";"INTERCITES - Train à charge, VL< 160 km/h, 100% ECO";"SNCF-Intercités";2019;"TGL";"Service librement organisé";;
"NCS";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Paris Toulouse";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NCA";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Transversale Sud";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NCP";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Massif Central";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NCN";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Normandie";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBO";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, 100% ECO";"SNCF-Intercités";2019;"TGL";"Service librement organisé";;
"NBS";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Paris Toulouse";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBA";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Transversale Sud";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBP";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Massif Central";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"NBN";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Normandie";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"LCC";"1987";"INTERCITES Nuit, V < 160 km/h à charge, Sud Ouest";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"LBC";"1987";"INTERCITES Nuit, V>= 160 km/h, à charge, Sud Ouest";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"LBG";"1987";"Voyageurs internationaux - Trains spéciaux (pèlerins et autres) à charge";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
"LCS";"1987";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V< 160 km/h, à charge";"SNCF-Intercités";2019;"TET";"Service conventionné";"Etat";"Intercités"
